"prop","pop_size","method","estimate"
0.1,200,"lp",260
0.1,200,"lp",NA
0.1,200,"lp",NA
0.1,200,"lp",120
0.1,200,"lp",126.666666666667
0.1,200,"lp",340
0.1,200,"lp",100
0.1,200,"lp",360
0.1,200,"lp",230
0.1,200,"lp",280
0.1,200,"lp",133.333333333333
0.1,200,"lp",125
0.1,200,"lp",210
0.1,200,"lp",120
0.1,200,"lp",540
0.1,200,"lp",NA
0.1,200,"lp",170
0.1,200,"lp",480
0.1,200,"lp",170
0.1,200,"lp",133.333333333333
0.1,200,"lp",130
0.1,200,"lp",380
0.1,200,"lp",320
0.1,200,"lp",190
0.1,200,"lp",100
0.1,200,"lp",280
0.1,200,"lp",180
0.1,200,"lp",160
0.2,200,"lp",217.777777777778
0.2,200,"lp",171.428571428571
0.2,200,"lp",186.666666666667
0.2,200,"lp",176
0.2,200,"lp",330
0.2,200,"lp",177.777777777778
0.2,200,"lp",206.666666666667
0.2,200,"lp",330
0.2,200,"lp",205.714285714286
0.2,200,"lp",268.571428571429
0.2,200,"lp",251.428571428571
0.2,200,"lp",180
0.2,200,"lp",200
0.2,200,"lp",234.285714285714
0.2,200,"lp",240
0.2,200,"lp",100
0.2,200,"lp",272
0.2,200,"lp",156
0.2,200,"lp",182.857142857143
0.2,200,"lp",156.363636363636
0.2,200,"lp",225
0.2,200,"lp",266.666666666667
0.2,200,"lp",226.666666666667
0.2,200,"lp",188.571428571429
0.2,200,"lp",133.333333333333
0.2,200,"lp",190
0.2,200,"lp",244.444444444444
0.2,200,"lp",246.666666666667
0.2,200,"lp",194.285714285714
0.2,200,"lp",288
0.2,200,"lp",320
0.2,200,"lp",168.888888888889
0.2,200,"lp",182.222222222222
0.2,200,"lp",376
0.2,200,"lp",222.857142857143
0.2,200,"lp",190
0.2,200,"lp",285.714285714286
0.2,200,"lp",313.333333333333
0.2,200,"lp",426.666666666667
0.2,200,"lp",376
0.2,200,"lp",285
0.2,200,"lp",220
0.2,200,"lp",156.363636363636
0.2,200,"lp",200
0.2,200,"lp",160
0.2,200,"lp",226.666666666667
0.2,200,"lp",286.666666666667
0.2,200,"lp",173.333333333333
0.2,200,"lp",132.5
0.2,200,"lp",266.666666666667
0.2,200,"lp",240
0.2,200,"lp",450
0.2,200,"lp",233.333333333333
0.2,200,"lp",90.6666666666667
0.2,200,"lp",152
0.2,200,"lp",413.333333333333
0.2,200,"lp",168
0.2,200,"lp",182.222222222222
0.2,200,"lp",141.538461538462
0.2,200,"lp",217.142857142857
0.2,200,"lp",312
0.2,200,"lp",370
0.2,200,"lp",164
0.2,200,"lp",160
0.2,200,"lp",185
0.2,200,"lp",230
0.2,200,"lp",211.428571428571
0.2,200,"lp",251.428571428571
0.2,200,"lp",410
0.2,200,"lp",210
0.2,200,"lp",212
0.2,200,"lp",253.333333333333
0.2,200,"lp",253.333333333333
0.2,200,"lp",200
0.2,200,"lp",266.666666666667
0.2,200,"lp",160
0.2,200,"lp",288
0.2,200,"lp",215
0.2,200,"lp",186.666666666667
0.2,200,"lp",251.428571428571
0.2,200,"lp",191.111111111111
0.2,200,"lp",256
0.2,200,"lp",344
0.2,200,"lp",220
